City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,manaure,11.7751,-72.4445,29.64,67,20,6.61,CO,1718672115
317,pombas,17.1503,-25.0201,22.88,78,2,4.33,CV,1718672115
318,protaras,35.0125,34.0583,26.1,90,6,0.45,CY,1718672116
319,kavaratti,10.5669,72.642,27.73,82,100,3.3,IN,1718672116
320,tazovsky,67.4667,78.7,1.75,77,81,8.72,RU,1718672116
321,salalah,17.0151,54.0924,29.05,79,75,2.06,OM,1718672116
322,keokuk,40.3973,-91.3849,31.29,55,0,3.6,US,1718672116
323,saint-francois,46.4154,3.9054,16.47,95,0,1.54,FR,1718672116
324,stulpicani,47.4667,25.7667,13.73,96,7,1.54,RO,1718672116
325,bamboo flat,11.7,92.7167,28.05,89,75,1.03,IN,1718672117
326,lata,40.1629,-8.3327,17.26,97,100,2.31,PT,1718672117
327,sechura,-5.5569,-80.8222,19.32,74,0,8.32,PE,1718672117
328,carutapera,-1.195,-46.02,23.36,95,12,2.37,BR,1718672117
329,manggar,-2.8833,108.2667,29.3,73,93,3.57,ID,1718672117
330,kondagaon,19.6,81.6667,24.22,73,99,1.37,IN,1718672117
331,sinabang,2.4803,96.3801,27.01,79,63,0.91,ID,1718672117
332,dambatta,12.433,8.5154,27.06,45,39,2.79,NG,1718672117
333,gamba,-2.65,10.0,21.94,92,11,2.35,GA,1718672053
334,labrador city,52.9463,-66.9114,13.99,79,100,2.57,CA,1718671835
335,kayyerkan,69.3786,87.7439,5.8,69,100,0.78,RU,1718672118
336,escanaba,45.7453,-87.0646,19.58,88,0,0.0,US,1718672023
337,yaren,-0.5472,166.916,29.27,73,9,5.85,NR,1718672118
338,muntok,-2.0667,105.1833,26.84,91,95,3.85,ID,1718672119
339,iwanai,42.9744,140.5089,20.19,85,100,4.1,JP,1718672119
340,fort st. john,56.2499,-120.8529,15.94,25,75,7.2,CA,1718672119
341,santana,-0.0583,-51.1817,25.1,94,100,3.09,BR,1718672119
342,kasongo-lunda,-6.4667,16.8167,17.53,39,99,0.81,CD,1718672120
343,charlottetown,46.2352,-63.1267,18.29,70,40,5.66,CA,1718672103
344,arar,30.9753,41.0381,33.01,8,0,1.54,SA,1718672120
345,road town,18.4167,-64.6167,28.05,83,40,1.03,VG,1718672049
346,sovetskaya gavan',48.9723,140.2878,8.08,97,100,1.18,RU,1718672120
347,campbellton,48.0075,-66.6727,21.25,75,99,1.85,CA,1718671868
348,ad dabbah,18.05,30.95,33.05,32,6,4.71,SD,1718672121
349,kovdor,67.5662,30.4758,12.61,74,100,1.63,RU,1718672121
350,huayucachi,-12.1333,-75.2333,11.35,81,55,2.37,PE,1718672121
351,al fulah,11.7329,28.3579,29.81,50,99,3.36,SD,1718672121
352,aripuana,-9.1667,-60.6333,24.5,53,1,0.43,BR,1718672121
353,masterton,-40.9597,175.6575,16.05,91,100,3.37,NZ,1718672121
354,pakuranga,-36.8833,174.9167,17.27,86,75,2.57,NZ,1718672121
355,manay,7.215,126.5397,28.57,69,100,1.35,PH,1718672122
356,caarapo,-22.6342,-54.8222,22.1,46,2,2.24,BR,1718672122
357,knezevo,44.4908,17.3775,13.52,91,0,2.07,BA,1718672122
358,hammerfest,70.6634,23.6821,17.25,67,0,1.03,NO,1718672122
359,tamanrasset,22.785,5.5228,26.95,10,0,3.09,DZ,1718672122
360,starokozache,46.3372,29.9853,18.83,73,2,1.7,UA,1718672122
361,ahiri,19.4,80.0167,27.83,73,100,1.39,IN,1718672122
